TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
19990111,-14.851,0.0,132.23,81.412,0.0,188.43,0.0,0.693,0.0,100.587,1.0,0.054,0.0,1.775,0.0,-9999,0.0,-9999,0.0,103.71710945291666,1.0,-9999,0.0,-9999,0.0,371.633,0.0208333,-9999,-9999,-9999,-9999,6.52474,-9999,-9999,-9999,-9999,-9999,10.4118,-9999,-9999,-9999,-9999,-9999,0.588725,0.0,-9999,0.588725,0.588725,0.588725,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990112,-14.435,0.0,133.432,36.059,0.0,237.539,0.0,0.665,0.0,100.75,1.0,3.3,0.0,1.301,0.645833,0.19083241709677423,0.6458333333333334,-9999,0.0,63.64709573625,1.0,-9999,0.0,-9999,0.0,371.847,1.0,-9999,-9999,-9999,-9999,5.7402,-9999,-9999,-9999,-9999,-9999,10.2966,-9999,-9999,-9999,-9999,-9999,0.611761,0.479167,-9999,0.611761,0.611761,0.611761,0.479167,0.479167,0.479167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990113,-13.204,0.0,134.69,22.18,0.0,231.767,0.0,0.708,0.0,101.608,1.0,7.37,0.0,2.654,0.541667,0.6356235115384614,0.5416666666666666,-9999,0.0,45.57606213354166,1.0,-9999,0.0,-9999,0.0,374.528,1.0,-9999,-9999,-9999,-9999,14.72,-9999,-9999,-9999,-9999,-9999,1.88883,-9999,-9999,-9999,-9999,-9999,0.649963,0.583333,-9999,0.649963,0.649963,0.649963,0.583333,0.583333,0.583333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990114,-20.824,0.0,136.006,93.557,0.0,179.698,0.0,0.683,0.0,103.377,1.0,0.039,0.0,2.529,0.791667,0.51068955,0.7916666666666666,-9999,-9999,171.345108956875,1.0,-9999,-9999,-9999,-9999,370.293,1.0,-9999,-9999,-9999,-9999,14.2661,-9999,-9999,-9999,-9999,-9999,5.98346,-9999,-9999,-9999,-9999,-9999,0.702473,0.333333,-9999,0.702473,0.702473,0.702473,0.333333,0.333333,0.333333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990115,-3.8,0.0,137.377,10.343,0.0,300.363,0.0,0.794,0.0,100.778,1.0,26.354,0.0,3.577,0.416667,-9999,0.0,-9999,0.0,23.450484593791668,1.0,-9999,0.0,-9999,0.0,370.593,0.895833,-9999,-9999,-9999,-9999,26.6097,-9999,-9999,-9999,-9999,-9999,-38.3131,-9999,-9999,-9999,-9999,-9999,0.677353,0.354167,-9999,0.677353,0.677353,0.677353,0.354167,0.354167,0.354167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990116,-3.612,0.0,138.803,78.367,0.0,248.112,0.0,1.589,0.0,99.586,1.0,0.059,0.0,3.162,0.895833,0.6346423820930233,0.8958333333333334,-9999,0.0,123.76363206958335,1.0,-9999,0.0,-9999,0.0,372.304,1.0,-9999,-9999,-9999,-9999,34.4203,-9999,-9999,-9999,-9999,-9999,-11.0916,-9999,-9999,-9999,-9999,-9999,0.503784,1.0,-9999,0.503784,0.503784,0.503784,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990117,0.782,0.0,140.285,84.078,0.0,240.02,0.0,1.939,0.0,100.703,1.0,0.0,0.0,2.744,0.9375,0.4555711577777778,0.9375,-9999,0.0,123.9918134755,1.0,-9999,0.0,-9999,0.0,373.678,1.0,-9999,-9999,-9999,-9999,9.45715,-9999,-9999,-9999,-9999,-9999,-17.2355,-9999,-9999,-9999,-9999,-9999,0.404631,1.0,-9999,0.404631,0.404631,0.404631,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990118,-0.161,0.0,141.822,57.106,0.0,279.178,0.0,1.352,0.0,101.07,1.0,2.865,0.0,2.299,0.770833,0.46289165216216216,0.7708333333333334,-9999,0.0,86.69118682252083,1.0,-9999,0.0,-9999,0.0,374.503,1.0,-9999,-9999,-9999,-9999,1.96193,-9999,-9999,-9999,-9999,-9999,-18.9629,-9999,-9999,-9999,-9999,-9999,0.48921,0.916667,-9999,0.48921,0.48921,0.48921,0.916667,0.916667,0.916667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990119,3.793,0.0,143.413,87.466,0.0,265.431,0.0,2.075,0.0,99.359,1.0,4.969,0.0,3.685,0.541667,0.743085726923077,0.5416666666666666,-9999,0.0,152.08808006670833,1.0,-9999,0.0,-9999,0.0,372.463,0.583333,-9999,-9999,-9999,-9999,30.5561,-9999,-9999,-9999,-9999,-9999,-36.0305,-9999,-9999,-9999,-9999,-9999,0.489399,0.583333,-9999,0.489399,0.489399,0.489399,0.583333,0.583333,0.583333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990120,0.474,0.0,145.058,61.646,0.0,258.17,0.0,2.353,0.0,100.255,1.0,0.011,0.0,2.77,0.0,-9999,0.0,-9999,0.0,136.34712556454167,1.0,-9999,0.0,-9999,0.0,372.473,0.0,-9999,-9999,-9999,-9999,30.8882,-9999,-9999,-9999,-9999,-9999,-35.648,-9999,-9999,-9999,-9999,-9999,0.48753,0.0,-9999,0.48753,0.48753,0.48753,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
